stratID,F_small,F_med,F_large,S_small,S_med,S_large,B,Bflux,Y,Y_small,Y_med,Y_large,E,E_small,E_med,E_large,Wmean,Winfmax,propLarge,slope,intercept,r2
1,1.689277767,1.203481049,2.707057832,0.990372164,0.357034243,0.25530035,0.85964617,0.177811821,0.247318051,0.247318051,1.67E-13,9.04E-43,13,1,6,6,0.753866286,26.78837796,2.22E-16,-6.496195176,-21.65790578,0.624444826
2,0.333806184,1.440938367,2.982597401,0.096107647,0.673146292,0.236323627,0.845968775,0.221021605,0.29395674,0.174873839,0.119082901,2.13E-55,7,1,0,6,0.697402756,117.825918,2.50E-05,-7.030192576,-20.77654023,0.454024086
3,0.673426306,0.401994178,0.890343073,0.831915907,0.466729038,0.65894396,0.924588853,0.263335585,0.225955358,0.092216521,0.123251176,0.010487662,5,1,0,4,0.835811877,320.5663955,0.033642323,-0.778425884,-7.791915008,0.84310042
4,1.973946927,0.740621975,2.280382678,0.004902636,0.049519694,0.89008875,0.996703527,0.303146518,0.502987172,0.351346052,0.090609426,0.061031694,7,4,3,0,0.972980214,1544.273417,0.395592329,-0.688804548,-7.697005504,0.864012417
5,1.326344742,1.086482385,1.656037439,0.66743464,0.698594316,0.832703561,0.916774545,0.256394745,0.313971865,0.212934845,0.056861801,0.044175219,1,0,1,0,0.686842666,1096.68385,0.277803114,-0.72829339,-7.583502331,0.873609077
6,2.661745501,0.500248454,2.504466009,0.525143554,0.924118019,0.896442884,1.086402635,0.330003886,0.116804721,0.072725195,0.033882349,0.010197177,5,5,0,0,1.326337471,1427.14175,0.168875428,-0.631510482,-7.708669466,0.88782265
7,0.702548871,0.15344284,1.611794493,0.072849654,0.547720279,0.154059233,1.036247634,0.316540996,0.146207253,0.032297229,0.113910024,2.60E-42,10,3,1,6,1.858194997,117.7852331,1.51E-05,-5.396257568,-18.03306573,0.462102529
8,2.688084825,0.170058772,0.868870862,0.32967549,0.773747601,0.904556716,1.098300744,0.32066172,0.146059385,0.092510316,0.042200579,0.01134849,5,5,0,0,1.432861623,1673.114079,0.217600099,-0.612210246,-7.714391425,0.894910953
9,1.218843773,0.720529075,1.93961204,0.324777217,0.42214166,0.640200591,0.888080365,0.25411048,0.461113711,0.153445073,0.29803596,0.009632679,6,0,0,6,0.941032744,352.7255899,0.029137316,-0.782710139,-7.909825027,0.827697315
10,2.464292716,1.863078863,0.083398189,0.814189245,0.496802041,0.824492138,0.938977492,0.257108033,0.210618595,0.198228057,4.58E-28,0.012390538,8,0,6,2,0.677675969,931.4230141,0.378698616,-0.875453601,-7.9369082,0.736312058
11,1.956705962,1.132373172,1.802853121,0.014920105,0.297998584,0.618580459,0.88283224,0.246339339,0.625636349,0.13047754,0.435958895,0.059199914,8,4,2,2,1.199935594,687.0322941,0.093024921,-0.732042595,-7.975339989,0.800082326
12,1.351503558,1.379819941,2.299086627,0.209795613,0.383458848,0.65340934,0.824248396,0.233719543,0.570436543,0.290526687,0.193808579,0.086101277,4,0,2,2,0.689038914,619.0679214,0.130494986,-0.830372521,-7.795920464,0.778537999
13,2.823890237,0.638347794,1.692030465,0.293466141,0.201810944,0.801882849,0.973408381,0.274098864,0.472650712,0.320224824,0.106781384,0.045644503,5,3,2,0,0.984751169,1623.735066,0.329876646,-0.663613641,-7.639311147,0.882650737
14,2.549881489,0.315101115,2.225049248,0.977863079,0.037392063,0.526177545,0.871650156,0.192129913,0.271004294,0.231599324,0.03940497,3.43E-14,12,2,4,6,0.805018094,35.15400267,9.57E-07,-2.298279414,-11.32672661,0.627777235
15,0.329727853,0.23232986,1.729342445,0.281387194,0.440193743,0.168357874,0.973066605,0.287833135,0.189029524,0.069332841,0.119696683,7.02E-45,8,2,0,6,1.10367485,140.067846,0.000229119,-5.708961892,-18.23652616,0.456999706
16,1.158165389,0.210676505,1.121689231,0.474189255,0.962687595,0.459354891,1.080374878,0.338986931,0.047342746,1.66E-07,0.047342579,1.82E-16,14,6,2,6,2.507234327,120.1408521,2.76E-06,-2.330511326,-11.93891401,0.539870354
17,0.735129183,0.323321365,1.979956186,0.785925187,0.094101392,0.436514325,0.881893194,0.233165153,0.30802814,0.177525758,0.130502382,2.96E-21,8,2,0,6,0.826427489,79.84706698,4.91E-05,-2.995946752,-12.50516307,0.521410245
18,2.551859824,0.888010992,0.840682528,0.625683951,0.606417676,0.771688301,0.940640773,0.275218207,0.39528637,0.194613495,0.15474261,0.045930264,3,2,1,0,0.88080387,1164.411616,0.211171569,-0.684894923,-7.605438482,0.883545612
19,1.158067413,0.287618057,2.206346006,0.801329954,0.753539108,0.115885663,1.006429592,0.316321702,0.162078834,0.049981738,0.112097096,2.51E-66,8,2,0,6,1.199479256,173.7035629,0.000206401,-8.232536137,-23.49979631,0.44100788
20,0.787517577,0.140367041,1.321210709,0.902674932,0.542874593,0.414125383,1.002998956,0.302345371,0.110156428,0.038730381,0.071426046,1.66E-19,8,2,0,6,1.156654275,147.6070303,0.000403972,-2.705124447,-12.01256158,0.511666723
21,1.279707183,1.864280105,1.728706012,0.83695245,0.307156983,0.748036152,0.856040099,0.225168652,0.264170108,0.196596639,6.57E-34,0.067573469,7,0,6,1,0.574509205,828.5488542,0.202138686,-0.804003677,-7.729187595,0.833784736
22,2.847129864,0.693629977,2.623290644,0.401538305,0.252624576,0.130025023,0.895161763,0.244180448,0.523337506,0.044282089,0.479055417,3.50E-60,13,5,2,6,1.556888406,102.5986222,9.33E-12,-7.713162819,-22.96880579,0.470740359
