stratID,F_small,F_med,F_large,S_small,S_med,S_large,B,Bflux,Y,E,E_small,E_med,E_large,Wmean,Winfmax,propLarge,slope,intercept,r2
1,2.24110018,1.616272083,0.69017013,0.744238171,0.700386563,0.638083754,0.958029007,0.260207997,0.117795392,0,0,0,0,0.822936835,97.8436072,0.228840633,-0.701135183,-7.586097394,0.868105436
2,0.27166929,0.634977307,2.357858643,0.687912066,0.586416183,0.066555289,0.976173798,0.252160199,0.145381439,4,1,0,3,1.3113639,85.95844448,9.48E-08,-20.05587593,-48.21716038,0.423498343
3,2.546634322,0.464362081,1.500273286,0.949358654,0.863199991,0.453308722,1.035057083,0.279794623,0.052384304,5,2,0,3,1.593303691,93.19870376,1.25E-07,-2.381893506,-11.61612093,0.533451604
4,2.918241893,0.245050795,1.423659091,0.581566421,0.29951933,0.986997191,0.974722519,0.267046433,0.177640632,1,1,0,0,0.891384552,103.9899871,0.308493488,-0.675793578,-7.615517615,0.88965633
5,0.983355291,0.551267495,2.081378136,0.399814869,0.535489856,0.610315138,0.981528303,0.274510234,0.209976326,0,0,0,0,1.077208589,124.9116597,0.140981705,-0.710388055,-7.745891576,0.800924183
6,2.051657855,0.170234101,0.317181084,0.414315735,0.269830582,0.352261933,1.031868143,0.281841697,0.151484816,7,3,1,3,2.880305767,131.1053534,0.001457259,-0.881157006,-9.097388918,0.74838904
7,1.034304938,1.23510946,0.047463306,0.199601231,0.047773024,0.731561843,0.943952345,0.261135753,0.271887452,5,1,3,1,0.843900604,65.96893264,0.436779831,-1.25645808,-8.766226479,0.449615464
8,2.089366947,1.719638948,1.545003069,0.771783761,0.412101133,0.128072596,0.854631059,0.123313814,0.296472481,7,1,3,3,0.987132173,27.08160258,1.11E-18,-8.865142483,-26.69101758,0.560972942
9,1.299020468,1.717242474,1.210495511,0.291436051,0.087365947,0.260250871,0.737869469,0.16067485,0.571905248,5,0,3,2,0.67820849,35.00961764,0.056028066,-2.173943711,-10.37603339,0.406045158
10,1.113331764,0.620353379,1.066568602,0.332442224,0.159444417,0.971003668,0.942660669,0.256737466,0.250941287,5,1,3,1,0.835729214,66.07552746,0.430815037,-1.236652683,-8.733339919,0.463069641
11,0.771668355,0.00076774,1.703768074,0.156437622,0.675484519,0.326126147,1.092009923,0.317299785,0.000402272,7,3,1,3,2.941555733,128.413372,0,-6.004110132,-20.09750667,0.513984802
12,0.407902696,1.582767407,0.000750307,0.373717233,0.085387273,0.4343577,0.938506419,0.244664338,0.110644303,4,0,3,1,0.764383827,63.57388605,0.399767676,-1.116615905,-8.456951967,0.519090724
13,1.914943475,1.506210359,2.337885652,0.419310948,0.682579655,0.779439461,1.016035484,0.28481508,0.202567508,1,1,0,0,1.106309572,151.7862694,0.239187279,-0.665945284,-7.676901697,0.845592077
14,2.083673358,0.866570256,0.866220031,0.504503649,0.928857464,0.291493184,1.085371157,0.314794373,0.025675663,7,3,1,3,2.886912098,132.257591,5.11E-17,-4.423616148,-16.73297284,0.53663126
15,2.672575049,1.724737797,1.063367371,0.943986907,0.802757306,0.4985026,1.032238202,0.281988952,0.065160133,5,2,0,3,1.59725862,100.6775801,1.53E-08,-1.892824342,-10.59207038,0.566626878
16,1.281589342,2.729610829,2.904555882,0.610934825,0.543151825,0.614276279,0.890575875,0.228547203,0.222749649,3,0,2,1,0.733690904,66.61535423,0.277370703,-0.847897894,-7.907702474,0.718085356
17,0.511026891,2.494929115,1.482648572,0.509050108,0.54716336,0.792428427,0.922328705,0.235808087,0.118470012,4,0,3,1,0.73489355,64.72984009,0.361068615,-0.998438898,-8.214610231,0.623276319
18,0.527208094,1.457250197,0.739111955,0.404457179,0.552043724,0.031683384,0.919148558,0.232866046,0.306886943,4,1,0,3,1.193079998,80.33902933,6.64E-09,-8.047286411,-23.21661443,0.445848246
19,2.272279004,0.320977132,1.916134949,0.433837474,0.820985253,0.62445712,1.081006986,0.313355109,0.041238417,7,3,1,3,2.86041979,134.249167,5.30E-07,-1.439851819,-10.35032023,0.662681536
20,0.732257305,1.901636388,1.557596718,0.883606251,0.598263693,0.042981833,0.930898406,0.218549737,0.157919229,4,1,0,3,1.117489455,66.31327545,3.80E-09,-16.16129652,-40.08335336,0.428437991
21,2.030751142,0.853361887,2.349821788,0.824504348,0.173114737,0.336628696,0.897180909,0.139248836,0.196842003,7,1,3,3,1.0189951,27.18047332,0,-7.51292525,-27.88746227,0.696405502
